date,flu,isPartial
2015-04-12,10,False
2015-04-19,14,False
2015-04-26,7,False
2015-05-03,0,False
2015-05-10,7,False
2015-05-17,0,False
2015-05-24,7,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,7,False
2015-06-21,8,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,9,False
2015-07-26,0,False
2015-08-02,8,False
2015-08-09,8,False
2015-08-16,8,False
2015-08-23,15,False
2015-08-30,0,False
2015-09-06,0,False
2015-09-13,9,False
2015-09-20,8,False
2015-09-27,0,False
2015-10-04,8,False
2015-10-11,7,False
2015-10-18,7,False
2015-10-25,0,False
2015-11-01,0,False
2015-11-08,0,False
2015-11-15,7,False
2015-11-22,0,False
2015-11-29,7,False
2015-12-06,6,False
2015-12-13,14,False
2015-12-20,7,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,0,False
2016-01-17,0,False
2016-01-24,0,False
2016-01-31,42,False
2016-02-07,42,False
2016-02-14,42,False
2016-02-21,42,False
2016-02-28,42,False
2016-03-06,0,False
2016-03-13,0,False
2016-03-20,46,False
2016-03-27,0,False
2016-04-03,45,False
2016-04-10,0,False
2016-04-17,48,False
2016-04-24,0,False
2016-05-01,0,False
2016-05-08,0,False
2016-05-15,52,False
2016-05-22,0,False
2016-05-29,52,False
2016-06-05,0,False
2016-06-12,0,False
2016-06-19,49,False
2016-06-26,0,False
2016-07-03,100,False
2016-07-10,48,False
2016-07-17,48,False
2016-07-24,48,False
2016-07-31,49,False
2016-08-07,48,False
2016-08-14,51,False
2016-08-21,0,False
2016-08-28,95,False
2016-09-04,81,False
2016-09-11,0,False
2016-09-18,87,False
2016-09-25,44,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,68,False
2016-10-30,46,False
2016-11-06,44,False
2016-11-13,44,False
2016-11-20,42,False
2016-11-27,80,False
2016-12-04,39,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,35,False
2017-01-08,34,False
2017-01-15,66,False
2017-01-22,22,False
2017-01-29,22,False
2017-02-05,22,False
2017-02-12,21,False
2017-02-19,32,False
2017-02-26,22,False
2017-03-05,21,False
2017-03-12,0,False
2017-03-19,38,False
2017-03-26,23,False
